CO_MUN_GEO;NO_MUN;Mesclado
3408504;CACAPAVA;BRASIL, SÃO PAULO, Caçapava
3420202;IGARATA;BRASIL, SÃO PAULO, Igaratá
3424402;JACAREI;BRASIL, SÃO PAULO, Jacareí
3424907;JAMBEIRO;BRASIL, SÃO PAULO, Jambeiro
3431704;MONTEIRO LOBATO;BRASIL, SÃO PAULO, Monteiro Lobato
3435606;PARAIBUNA;BRASIL, SÃO PAULO, Paraibuna
3446009;SANTA BRANCA;BRASIL, SÃO PAULO, Santa Branca
3449904;SAO JOSE DOS CAMPOS;BRASIL, SÃO PAULO, São José dos Campos
3409700;CAMPOS DO JORDAO;BRASIL, SÃO PAULO, Campos do Jordão
3426308;LAGOINHA;BRASIL, SÃO PAULO, Lagoinha
3432306;NATIVIDADE DA SERRA;BRASIL, SÃO PAULO, Natividade da Serra
3438006;PINDAMONHANGABA;BRASIL, SÃO PAULO, Pindamonhangaba
3442305;REDENCAO DA SERRA;BRASIL, SÃO PAULO, Redenção da Serra
3448203;SANTO ANTONIO DO PINHAL;BRASIL, SÃO PAULO, Santo Antônio do Pinhal
3448609;SAO BENTO DO SAPUCAI;BRASIL, SÃO PAULO, São Bento do Sapucaí
3550001;SAO LUIZ DO PARAITINGA;BRASIL, SÃO PAULO, São Luiz do Paraitinga
3454102;TAUBATE;BRASIL, SÃO PAULO, Taubaté
3454805;TREMEMBE;BRASIL, SÃO PAULO, Tremembé
3402507;APARECIDA;BRASIL, SÃO PAULO, Aparecida
3408603;CACHOEIRA PAULISTA;BRASIL, SÃO PAULO, Cachoeira Paulista
3409957;CANAS;BRASIL, SÃO PAULO, Canas
3413603;CUNHA;BRASIL, SÃO PAULO, Cunha
3418404;GUARATINGUETA;BRASIL, SÃO PAULO, Guaratinguetá
3427207;LORENA;BRASIL, SÃO PAULO, Lorena
3438501;PIQUETE;BRASIL, SÃO PAULO, Piquete
3440754;POTIM;BRASIL, SÃO PAULO, Potim
3444301;ROSEIRA;BRASIL, SÃO PAULO, Roseira
3403158;ARAPEI;BRASIL, SÃO PAULO, Arapeí
3403505;AREIAS;BRASIL, SÃO PAULO, Areias
3404909;BANANAL;BRASIL, SÃO PAULO, Bananal
3413405;CRUZEIRO;BRASIL, SÃO PAULO, Cruzeiro
3426605;LAVRINHAS;BRASIL, SÃO PAULO, Lavrinhas
3441901;QUELUZ;BRASIL, SÃO PAULO, Queluz
3449607;SAO JOSE DO BARREIRO;BRASIL, SÃO PAULO, São José do Barreiro
3452007;SILVEIRAS;BRASIL, SÃO PAULO, Silveiras
3410500;CARAGUATATUBA;BRASIL, SÃO PAULO, Caraguatatuba
3420400;ILHABELA;BRASIL, SÃO PAULO, Ilhabela
3450704;SAO SEBASTIAO;BRASIL, SÃO PAULO, São Sebastião
3455406;UBATUBA;BRASIL, SÃO PAULO, Ubatuba
